drug_name,generic_name
アマンタジン塩酸塩５０ｍｇ錠,アマンタジン塩酸塩
シンメトレル錠５０ｍｇ,アマンタジン塩酸塩
アマンタジン塩酸塩１００ｍｇ錠,アマンタジン塩酸塩
シンメトレル錠１００ｍｇ,アマンタジン塩酸塩
ビペリデン塩酸塩散１％「ヨシトミ」,ビペリデン塩酸塩
アキネトン細粒１％,ビペリデン塩酸塩
ビペリデン塩酸塩細粒１％「アメル」,ビペリデン塩酸塩
ビペリデン塩酸塩１ｍｇ錠,ビペリデン塩酸塩
アキネトン錠１ｍｇ,ビペリデン塩酸塩
ビペリデン塩酸塩錠２ｍｇ「サワイ」,ビペリデン塩酸塩
ドパストン散９８．５％,レボドパ
